Название,Автор,Цена,Скидка
Web-программирование на Python. Учебное пособие,Янцев Валерий Викторович,1 564 rub,50.0
Go. Идиомы и паттерны проектирования,Боднер Джон,2 588 rub,22.0
Python. Чистый код для продолжающих,Свейгарт Эл,2 075 rub,21.99
Как проектировать программы,Фелляйзен Маттиас и др.,2 580 rub,49.99
Введение в программирование и структуры данных,Фислер Кати и др.,2 156 rub,50.0
Введение в гибридные технологии разработки мобильных приложений. Учебное пособие. СПО,"Заяц Анатолий Моисеевич, Васильев Николай Павлович",1 118 rub,49.98
Программирование в САПР. Учебное пособие,Лянг Виктор Федорович,2 774 rub,49.99
Введение в гибридные технологии разработки мобильных приложений. Учебное пособие,"Васильев Николай Павлович, Заяц Анатолий Моисеевич",1 954 rub,49.99
SQL. Быстрое погружение,Шилдс Уолтер,1 164 rub,21.98
Spring Boot по-быстрому,Хеклер Марк,2 197 rub,22.01
Параллельное программирование на современном С++,Гримм Райнер,2 580 rub,49.99
Устройство и программирование автономных роботов. Проекты на Python и Raspberry PI,Стейпл Дэнни,1 677 rub,50.0
Практический хакинг интернета вещей,Чанцис Фотиос и др.,2 322 rub,50.0
Spring в действии,Уоллс Крейг,2 580 rub,49.99
Практическое введение в решение дифференциальных уравнений в Python,Ершов Николай Михайлович,1 290 rub,50.0
Open Source. Разработка программ с открытым исходным кодом,Эгбал Надья,2 204 rub,22.01
"Теоретический минимум по Computer Science. Сети, криптография и data science","Феррейра Фило Владстон, Пиктет Мото",1 158 rub,21.97
Программирование в Roblox. Сделать игру - проще простого,Брамбо Зандер,1 290 rub,50.0
Алгоритмы. Самый краткий и понятный курс,Луридас Панос,620 rub,26.97
Масштабируемый рефакторинг. Возвращаем контроль над кодом,Лемер Мод,1 496 rub,22.0
Многопоточный JavaScript,"Хантер Томас II, Инглиш Брайан",1 548 rub,49.98
JavaScript. Визуальные редакторы. Учебное пособие для СПО,Янцев Валерий Викторович,1 397 rub,50.0
JavaScript. Визуальные редакторы. Учебное пособие для вузов,Янцев Валерий Викторович,1 397 rub,50.0
Языки программирования и методы трансляции. Учебное пособие для вузов,Свердлов Сергей Залманович,2 052 rub,50.0
Алгоритмы Data Science и их практическая реализация на Python,Протодьяконов Андрей Владимирович и др.,1 588 rub,50.0
Графический анализ на языке R. Учебно-методическое пособие,Лукьянов Павел Борисович,584 rub,49.96
Head First. Изучаем C#,"Стиллмен Эндрю, Грин Дженнифер",2 666 rub,22.0
Основы алгоритмизации и программирования на Visual C++. Учебное пособие,Гуриков Сергей Ростиславович,2 580 rub,49.99
Дисциплина программирования. Матем.обеспечение ЭВМ,Дейкстра Э.,2 246 rub,22.01
Программирование на языке Си. Учебное пособие для вузов,Рацеев Сергей Михайлович,2 002 rub,49.99
Руткиты и буткиты. Обратная разработка вредоносных программ и угрозы следующего поколения,Матросов Александр и др.,2 322 rub,50.0
Профессиональный бенчмарк. Искусство измерения производительности,Акиньшин Андрей,2 600 rub,21.99
Язык программирования C# 9 и платформа .NET 5: основные принципы и практики программирования,"Троелсен Эндрю, Джепикс Филипп",5 520 rub,50.0
Этичный хакинг. Практическое руководство по взлому,Грэм Дэниел Г.,2 069 rub,21.98
Основы построения экономических моделей в Excel. Учебник для СПО,"Воскобойников Юрий Евгеньевич, Мухина Ирина Николаевна",1 282 rub,49.98
Программирование на языке Си.Учебное пособие для СПО,Рацеев Сергей Михайлович,1 896 rub,49.99
JavaScript.Как писать программы.Учебное пособие для вузов,Янцев Валерий Викторович,1 370 rub,50.0
JavaScript.Как писать программы Учебное пособие для СПО,Янцев Валерий Викторович,1 370 rub,50.0
Теория автоматического управления в примерах и задачах с решениями в MATLAB. Учебное пособие,Гайдук Анатолий Романович и др.,2 304 rub,49.99
Язык программирования С++,Страуструп Бьерн,1 560 rub,50.0
Построение распределенных систем на базе WebSocket. Учебное пособие для вузов,"Хабаров Сергей Петрович, Шилкина Мария Львовна",1 467 rub,49.98
Svelte и Sapper в действии,Волкманн Марк,3 848 rub,21.99
Хочу в геймдев! Основы игровой разработки для начинающих,"Уточкин Вячеслав Николаевич, Сахнов Константин Сергеевич",965 rub,27.0
Разработка игр и теория развлечений,Костер Рэф,1 419 rub,49.98
Структуры данных в Python. Начальный курс,Шихи Дональд Р.,1 161 rub,49.98
Большая книга проектов Python,Свейгарт Эл,1 548 rub,22.02
Отзывчивый дизайн на HTML5 и CSS3 для любых устройств,Фрэйн Бен,2 079 rub,22.02
Глубокое обучение с подкреплением. Теория и практика на языке Python,"Грессер Лаура, Кенг Ван Лун",2 328 rub,21.98
Искусство WebAssembly. Создание безопасных межплатформенных высокопроизводительных приложений,Баттальини Рик,1 290 rub,50.0
Микросервисы Spring в действии,"Карнелл Джон, Санчес Иллари Уайлупо",2 193 rub,50.0
Осваиваем архитектуру Transformer. Разработка современных моделей с помощью передовых методов,"Йылдырым Саваш, Асгари-Ченаглу Мейсам",1 935 rub,49.99
Основы юзабилити-тестирования,Барнум Кэрол М.,2 300 rub,50.0
Творческие проекты с микроконтроллером в среде TinyGo и WebAssembly,Тил Тобиас,1 419 rub,49.98
Программирование на Python. Первые шаги,Щерба Анастасия Владимировна,619 rub,50.0
Вычисления в кольцах некоммутативных многочленов. Учебное пособие для вузов,Цирулик Владимир Григорьевич,2 011 rub,49.99
Практический анализ двоичных файлов,Эндриесс Дэннис,2 193 rub,50.0
Изучаем C# через разработку игр на Unity,Ферроне Харрисон,1 548 rub,22.02
Основы алгоритмизации и программирования на языке Паскаль. Лабораторный практикум. Учебное пособие,Коренская Ирина Николаевна,794 rub,50.0
Исследование операций. Том 1. Линейное программирование. Учебник для вузов,Трушков Александр Сергеевич,1 631 rub,49.98
Игра в цифры. Как аналитика позволяет видеоиграм жить лучше,Сабиров Василий Константинович,1 407 rub,27.02
